COLUPC,PANID,WEEK,UNITS,OUTLET,DOLLARS,IRI_KEY,Panelist.Type,Combined.Pre.Tax.Income.of.HH,Family.Size,HH_RACE,Type.of.Residential.Possession,Age.Group.Applied.to.Male.HH,Education.Level.Reached.by.Male.HH,Occupation.Code.of.Male.HH,Male.Working.Hour.Code,Age.Group.Applied.to.Female.HH,Education.Level.Reached.by.Female.HH,Occupation.Code.of.Female.HH,Female.Working.Hour.Code,Number.of.Dogs,Number.of.Cats,Children.Group.Code,Marital.Status,Number.of.TVs.Used.by.HH,Number.of.TVs.Hooked.to.Cable,L3,L4,L5,VOL_EQ,COLOR,SIZE,ADDITIVES,NUMBER.OF.PLY,TYPE.OF.DISPENSER
13700031680,1220947,1130,1,GR,1.39,648764,0,11,2,1,2,5,5,2,3,5,8,1,3,0,1,8,1,NA,NA,PROCTER & GAMBLE,PROCTER & GAMBLE,PUFFS PLUS,0.64,WHITE,FULL SIZE,ALOE VERA & LOTION,2 PLY,TOP OPENING
13700031680,1127449,1134,1,GR,1.39,213290,0,6,2,1,2,6,6,10,4,6,7,10,4,0,0,8,2,NA,NA,PROCTER & GAMBLE,PROCTER & GAMBLE,PUFFS PLUS,0.64,WHITE,FULL SIZE,ALOE VERA & LOTION,2 PLY,TOP OPENING
13700031680,1220947,1118,2,GR,2.78,648764,0,11,2,1,2,5,5,2,3,5,8,1,3,0,1,8,1,NA,NA,PROCTER & GAMBLE,PROCTER & GAMBLE,PUFFS PLUS,0.64,WHITE,FULL SIZE,ALOE VERA & LOTION,2 PLY,TOP OPENING
13700031680,1207894,1130,1,GR,1.39,213290,0,10,3,1,2,4,4,4,2,4,6,1,3,1,1,3,2,NA,NA,PROCTER & GAMBLE,PROCTER & GAMBLE,PUFFS PLUS,0.64,WHITE,FULL SIZE,ALOE VERA & LOTION,2 PLY,TOP OPENING
13700031680,3136192,1155,1,GR,1.15,257871,6,12,2,1,2,5,7,1,3,5,5,10,4,1,2,8,2,2,3,PROCTER & GAMBLE,PROCTER & GAMBLE,PUFFS PLUS,0.64,WHITE,FULL SIZE,ALOE VERA & LOTION,2 PLY,TOP OPENING
13700031680,1805804,1130,1,GR,1.39,213290,0,8,4,1,2,4,4,7,3,3,4,6,3,0,0,3,2,NA,NA,PROCTER & GAMBLE,PROCTER & GAMBLE,PUFFS PLUS,0.64,WHITE,FULL SIZE,ALOE VERA & LOTION,2 PLY,TOP OPENING
13700031680,1220947,1143,1,GR,1.39,648764,0,11,2,1,2,5,5,2,3,5,8,1,3,0,1,8,1,NA,NA,PROCTER & GAMBLE,PROCTER & GAMBLE,PUFFS PLUS,0.64,WHITE,FULL SIZE,ALOE VERA & LOTION,2 PLY,TOP OPENING
13700031680,1228825,1116,1,GR,1.39,213290,0,4,3,1,2,6,6,10,4,6,7,10,4,0,0,8,2,NA,NA,PROCTER & GAMBLE,PROCTER & GAMBLE,PUFFS PLUS,0.64,WHITE,FULL SIZE,ALOE VERA & LOTION,2 PLY,TOP OPENING
13700031680,1141028,1131,1,GR,1.39,213290,0,10,2,1,2,5,7,13,1,5,7,13,1,0,0,8,2,NA,NA,PROCTER & GAMBLE,PROCTER & GAMBLE,PUFFS PLUS,0.64,WHITE,FULL SIZE,ALOE VERA & LOTION,2 PLY,TOP OPENING
13700031680,3334656,1151,1,MA,0.88,690004,5,10,4,1,2,4,4,3,3,4,6,1,3,0,0,3,2,4,4,PROCTER & GAMBLE,PROCTER & GAMBLE,PUFFS PLUS,0.64,WHITE,FULL SIZE,ALOE VERA & LOTION,2 PLY,TOP OPENING
13700031680,1219113,1131,1,GR,1.39,213290,0,5,1,1,2,7,9,11,5,6,4,10,4,0,0,8,4,NA,NA,PROCTER & GAMBLE,PROCTER & GAMBLE,PUFFS PLUS,0.64,WHITE,FULL SIZE,ALOE VERA & LOTION,2 PLY,TOP OPENING
13700031680,1120634,1118,1,GR,1.39,213290,0,7,3,1,2,5,6,10,4,5,4,2,3,0,2,8,2,NA,NA,PROCTER & GAMBLE,PROCTER & GAMBLE,PUFFS PLUS,0.64,WHITE,FULL SIZE,ALOE VERA & LOTION,2 PLY,TOP OPENING
13700031680,1220947,1135,3,GR,4.17,648764,0,11,2,1,2,5,5,2,3,5,8,1,3,0,1,8,1,NA,NA,PROCTER & GAMBLE,PROCTER & GAMBLE,PUFFS PLUS,0.64,WHITE,FULL SIZE,ALOE VERA & LOTION,2 PLY,TOP OPENING
13700031680,1220947,1130,3,GR,4.17,648764,0,11,2,1,2,5,5,2,3,5,8,1,3,0,1,8,1,NA,NA,PROCTER & GAMBLE,PROCTER & GAMBLE,PUFFS PLUS,0.64,WHITE,FULL SIZE,ALOE VERA & LOTION,2 PLY,TOP OPENING
13700031680,1142737,1138,1,GR,1.39,266596,0,3,1,0,1,0,0,0,0,7,9,11,5,0,0,8,1,NA,NA,PROCTER & GAMBLE,PROCTER & GAMBLE,PUFFS PLUS,0.64,WHITE,FULL SIZE,ALOE VERA & LOTION,2 PLY,TOP OPENING
13700031680,1120634,1139,1,GR,1.39,213290,0,7,3,1,2,5,6,10,4,5,4,2,3,0,2,8,2,NA,NA,PROCTER & GAMBLE,PROCTER & GAMBLE,PUFFS PLUS,0.64,WHITE,FULL SIZE,ALOE VERA & LOTION,2 PLY,TOP OPENING
13700031680,1219113,1131,1,GR,1.39,213290,0,5,1,1,2,7,9,11,5,6,4,10,4,0,0,8,4,NA,NA,PROCTER & GAMBLE,PROCTER & GAMBLE,PUFFS PLUS,0.64,WHITE,FULL SIZE,ALOE VERA & LOTION,2 PLY,TOP OPENING
13700031680,3121681,1129,1,GR,1.39,653776,5,5,4,1,1,7,9,11,5,2,7,4,3,0,0,2,3,2,2,PROCTER & GAMBLE,PROCTER & GAMBLE,PUFFS PLUS,0.64,WHITE,FULL SIZE,ALOE VERA & LOTION,2 PLY,TOP OPENING
13700031680,1186619,1118,1,GR,1.39,648764,6,5,2,1,2,6,7,10,4,5,6,13,1,1,3,8,2,2,1,PROCTER & GAMBLE,PROCTER & GAMBLE,PUFFS PLUS,0.64,WHITE,FULL SIZE,ALOE VERA & LOTION,2 PLY,TOP OPENING
13700031680,3804260,1149,1,GR,1.25,257006,6,5,2,1,2,6,5,10,4,6,4,10,4,0,0,8,2,1,1,PROCTER & GAMBLE,PROCTER & GAMBLE,PUFFS PLUS,0.64,WHITE,FULL SIZE,ALOE VERA & LOTION,2 PLY,TOP OPENING
13700031680,1133363,1131,1,GR,1.39,213290,0,11,4,1,2,3,4,3,3,3,6,3,3,1,1,6,2,NA,NA,PROCTER & GAMBLE,PROCTER & GAMBLE,PUFFS PLUS,0.64,WHITE,FULL SIZE,ALOE VERA & LOTION,2 PLY,TOP OPENING
13700031680,1303834,1131,1,GR,1.39,213290,6,7,2,1,2,6,7,10,4,6,7,10,4,0,1,8,2,2,2,PROCTER & GAMBLE,PROCTER & GAMBLE,PUFFS PLUS,0.64,WHITE,FULL SIZE,ALOE VERA & LOTION,2 PLY,TOP OPENING
