PANID,WEEK,UNITS,OUTLET,DOLLARS,IRI_KEY,COLUPC
1150474,1164,2,DR,0.5,8003043,13600000317
1222786,1128,1,DR,0.25,8003043,13600000317
1222786,1155,1,DR,0.25,8003043,13600000317
1224428,1164,1,DR,0.25,8003043,13600000317
1133934,1162,1,DR,0.25,8003059,13600000317
1180844,1159,16,DR,4,8003059,13600000317
1326116,1120,2,DR,0.5,8003059,13600000317
1138347,1132,1,DR,0.25,8046669,13600000317
1197582,1164,3,DR,0.75,8046669,13600000317
1212936,1162,1,DR,0.25,8046669,13600000317
1228619,1164,1,DR,0.25,8046669,13600000317
1225748,1115,1,DR,0.53,642583,13600000317
1225748,1115,1,DR,0.53,642583,13600000317
3134668,1157,1,DR,0.39,651444,13600000317
3328138,1156,2,DR,0.78,651444,13600000317
3334151,1137,3,DR,0.99,651444,13600000317
3342758,1162,1,DR,0.39,651444,13600000317
3813576,1164,1,DR,0.39,651444,13600000317
1245944,1125,1,DR,0.53,642166,13600000317
1141168,1131,4,DR,1,650679,13600000317
1141168,1132,2,DR,0.5,650679,13600000317
3818823,1162,1,DR,0.36,1091828,13600000317
1809814,1123,1,DR,2.09,642166,13600024621
1809814,1132,2,DR,3,642166,13600024621
1217414,1132,1,DR,1.5,650679,13600024621
1227785,1154,1,DR,2.09,8000583,13600024621
1101238,1117,1,DR,3.79,8003043,13600025058
1108043,1118,1,DR,3.79,8003043,13600025058
1182295,1126,1,DR,3.79,8003043,13600025058
1190744,1118,1,DR,3.79,8003043,13600025058
1222786,1126,2,DR,8.78,8003043,13600025058
1222919,1126,2,DR,8.78,8003043,13600025058
1306829,1118,5,DR,20.15,8003043,13600025058
1404384,1126,1,DR,3.79,8003043,13600025058
1306829,1117,1,DR,2.39,8003059,13600025058
1306829,1117,1,DR,2.39,8003059,13600025058
1311670,1126,1,DR,3.79,8003059,13600025058
1802082,1118,1,DR,3.79,8003059,13600025058
1101238,1126,2,DR,8.78,8046669,13600025058
1107862,1117,3,DR,12.57,8046669,13600025058
1132738,1126,2,DR,7.58,8046669,13600025058
1220376,1117,2,DR,7.58,8046669,13600025058
1310755,1117,1,DR,3.79,8046669,13600025058
1806448,1117,2,DR,8.78,8046669,13600025058
1131383,1118,2,DR,7.6,8003043,13600025101
1131383,1118,1,DR,3.79,8003043,13600025101
1222703,1118,1,DR,3.79,8003043,13600025101
1303792,1126,2,DR,7.6,8003043,13600025101
1108043,1118,1,DR,3.79,8003059,13600025101
1204461,1118,1,DR,3.79,8003059,13600025101
1400234,1126,2,DR,7.6,8003059,13600025101
1130963,1126,1,DR,3.79,8046669,13600025101
1228619,1126,1,DR,3.79,8046669,13600025101
1140194,1164,1,DR,2.99,8003043,13600025490
1224428,1159,1,DR,2.99,8003043,13600025490
1139311,1144,1,DR,2.99,8046669,13600025490
1203364,1164,1,DR,2.99,8046669,13600025490
1118208,1159,1,DR,2.99,8003043,13600025499
1152041,1144,2,DR,5.98,8003043,13600025499
1186346,1158,1,DR,2.99,8003043,13600025499
1187443,1159,1,DR,2.99,8003043,13600025499
