L1,L2,L3,L4,L5,L9,Level,UPC,COLUPC,SY,GE,VEND,ITEM,*STUBSPEC 1844RC                                                         00004  ,VOL_EQ,PRODUCT TYPE,COLOR,SIZE,ADDITIVES,NUMBER OF PLY,TYPE OF DISPENSER,NUMBER OF SHEETS
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,A & G TEXTILES INC,A & G TEXTILES INC,BEST BRANDS,+BESBR WHT FCLTS 2PLY 70CT,9,00-01-42887-40492,14288740492,, 1,42887,40492,        +BESBR WHT FCLTS 2PLY       70CT 0 1 42887 40492 1  1 0.7000RP   00017  ,0.7,FACIAL TISSUE,WHITE,MISSING,MISSING,2 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,A & G TEXTILES INC,A & G TEXTILES INC,BEST BRANDS,+BESBR WHT FCLTS 2PLY 70CT,9,00-01-42887-40493,14288740493,, 1,42887,40493,        +BESBR WHT FCLTS 2PLY       70CT 0 1 42887 40493 1  1 0.7000RP   00018  ,0.7,FACIAL TISSUE,WHITE,MISSING,MISSING,2 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,A & G TEXTILES INC,A & G TEXTILES INC,BEST BRANDS,+BESBR WHT FCLTS 2PLY 70CT,9,00-01-42887-40494,14288740494,, 1,42887,40494,        +BESBR WHT FCLTS 2PLY       70CT 0 1 42887 40494 1  1 0.7000RP   00019  ,0.7,FACIAL TISSUE,WHITE,MISSING,MISSING,2 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,AMERICAN TISSUE CORP,AMERICAN TISSUE CORP,MAGIC SOFT,+MGCSO WHT FCLTS 2PLY 85CT,9,00-02-24545-47000,22454547000,, 2,24545,47000,        +MGCSO WHT FCLTS 2PLY       85CT 0 2 24545 47000 1  1 0.8500RP   00023  ,0.85,FACIAL TISSUE,WHITE,MISSING,MISSING,2 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,AMERICAN TISSUE CORP,AMERICAN TISSUE CORP,MAGIC SOFT,+MGCSO WHT FCLTS 2PLY 85CT,9,00-01-72105-15035,17210515035,, 1,72105,15035,        +MGCSO WHT FCLTS 2PLY       85CT 0 1 72105 15035 1  1 0.8500RP   00024  ,0.85,FACIAL TISSUE,WHITE,MISSING,MISSING,2 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,AMERICAN TISSUE CORP,AMERICAN TISSUE CORP,MAGIC SOFT,+MGCSO WHT FCLTS 2PLY 150CT,9,00-02-24545-47010,22454547010,, 2,24545,47010,        +MGCSO WHT FCLTS 2PLY      150CT 0 2 24545 47010 1  1 1.5000RP   00025  ,1.5,FACIAL TISSUE,WHITE,MISSING,MISSING,2 PLY,POP-UP,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,AMERICAN TISSUE CORP,AMERICAN TISSUE CORP,MAGIC SOFT,+MGCSO WHT FCLTS 2PLY 150CT,9,00-01-24545-47010,12454547010,, 1,24545,47010,        +MGCSO WHT FCLTS 2PLY      150CT 0 1 24545 47010 0= 1 1.5000RP   00026  ,1.5,FACIAL TISSUE,WHITE,MISSING,MISSING,2 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,AMERICAN TISSUE CORP,AMERICAN TISSUE CORP,MAGNOLIA,+MGNLA FCLTS 2PLY 100CT,9,00-02-24545-30011,22454530011,, 2,24545,30011,        +MGNLA FCLTS 2PLY          100CT 0 2 24545 30011 1  1 1.0000RP   00028  ,1,FACIAL TISSUE,MISSING,MISSING,MISSING,2 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,AMERICAN TISSUE CORP,AMERICAN TISSUE CORP,MAGNOLIA,+MGNLA WHT FCLTS 2PLY 120CT,9,00-01-24545-37492,12454537492,, 1,24545,37492,        +MGNLA WHT FCLTS 2PLY      120CT 0 1 24545 37492 1  1 1.2000RP   00029  ,1.2,FACIAL TISSUE,WHITE,MISSING,MISSING,2 PLY,TEAR OPEN,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,AMERICAN TISSUE CORP,AMERICAN TISSUE CORP,STERLING,+STLG2 WHT FCLTS 2PLY 100CT,9,00-01-24545-46706,12454546706,, 1,24545,46706,        +STLG2 WHT FCLTS 2PLY      100CT 0 1 24545 46706 1  1 1.0000RP   00031  ,1,FACIAL TISSUE,WHITE,MISSING,MISSING,2 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,ASPEN PRODS INC,ASPEN PRODS INC,ASPEN,+ASPN1 WHT FCLTS 2PLY 175CT,9,00-02-43032-03305,24303203305,, 2,43032, 3305,        +ASPN1 WHT FCLTS 2PLY      175CT 0 2 43032  3305 1  1 1.7500RP   00035  ,1.75,FACIAL TISSUE,WHITE,MISSING,NO ADDITIVES,2 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,ATICO,ATICO,ATICO,+ATCO2 WHT FCLTS 2PLY 60CT,9,00-01-12495-68068,11249568068,, 1,12495,68068,        +ATCO2 WHT FCLTS 2PLY       60CT 0 1 12495 68068 1  1 0.6000RP   00039  ,0.6,FACIAL TISSUE,WHITE,POCKET SIZE,MISSING,2 PLY,TOP OPENING,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,ATICO,ATICO,NOBRAND,+NBRND WHT FCLTS 2PLY 10CT,9,00-01-12495-70727,11249570727,, 1,12495,70727,        +NBRND WHT FCLTS 2PLY       10CT 0 1 12495 70727 1  1 0.1000RP   00041  ,0.1,FACIAL TISSUE,WHITE,POCKET SIZE,MISSING,2 PLY,TEAR OPEN,MISSING
CATEGORY - FACIAL TISSUE         ,FACIAL TISSUE,ATLANTIC PAPER CORP.,ATLANTIC PAPER CORP.,KENSINGTON,+KNGTN WHT FCLTS 2PLY 175CT,9,00-01-54659-36075,15465936075,, 1,54659,36075,        +KNGTN WHT FCLTS 2PLY      175CT 0 1 54659 36075 1  1 1.7500RP   00045  ,1.75,FACIAL TISSUE,WHITE,MISSING,MISSING,2 PLY,TOP OPENING,MISSING
