"","PANID","COLUPC","WEEK","UNITS","OUTLET","DOLLARS","IRI_KEY","L4","L5","VOL_EQ","COLOR","SIZE","ADDITIVES","NUMBER_OF_PLY","TYPE_OF_DISPENSER","per_unit_cost","per_sheet_cost","Panelist_Type","Combined_Income","Family_Size","HH_RACE","Type_Residential","Age_Group_Male","Education_Male","Occupation_Male","Male_Working_Hour","Age_Group_Female","Education_Female","Occupation_Female","Female_Working_Hour","No_Dogs","No_Cats","Children_Group_Code","Marital_Status","Is_pet","monetary","freq","day","M","F","R","cat"
"513",1103895,13700033549,1165,1,"GR",2.09,652159,"PROCTER","PUFFS",2.16,"WHITE","FAMILY","NO LOTIO","2 PLY","TOP & SI",2.09,0.009675926,0,6,2,1,2,6,5,10,1,6,4,10,1,0,0,0,2,0,18.81,7,1165,4,4,4,1
"514",1103895,13700033549,1165,1,"GR",2.09,652159,"PROCTER","PUFFS",2.16,"WHITE","FAMILY","NO LOTIO","2 PLY","TOP & SI",2.09,0.009675926,0,6,2,1,2,6,5,10,1,6,4,10,1,0,0,0,2,0,18.81,7,1165,4,4,4,1
"515",1103895,13700033549,1137,3,"GR",6.27,652159,"PROCTER","PUFFS",2.16,"WHITE","FAMILY","NO LOTIO","2 PLY","TOP & SI",2.09,0.009675926,0,6,2,1,2,6,5,10,1,6,4,10,1,0,0,0,2,0,18.81,7,1165,4,4,4,1
"516",1103895,13700033549,1165,1,"GR",2.09,652159,"PROCTER","PUFFS",2.16,"WHITE","FAMILY","NO LOTIO","2 PLY","TOP & SI",2.09,0.009675926,0,6,2,1,2,6,5,10,1,6,4,10,1,0,0,0,2,0,18.81,7,1165,4,4,4,1
"517",1103895,13700033549,1131,1,"GR",2.09,652159,"PROCTER","PUFFS",2.16,"WHITE","FAMILY","NO LOTIO","2 PLY","TOP & SI",2.09,0.009675926,0,6,2,1,2,6,5,10,1,6,4,10,1,0,0,0,2,0,18.81,7,1165,4,4,4,1
"518",1103895,13700033549,1131,1,"GR",2.09,652159,"PROCTER","PUFFS",2.16,"WHITE","FAMILY","NO LOTIO","2 PLY","TOP & SI",2.09,0.009675926,0,6,2,1,2,6,5,10,1,6,4,10,1,0,0,0,2,0,18.81,7,1165,4,4,4,1
"519",1103895,13700033549,1131,1,"GR",2.09,652159,"PROCTER","PUFFS",2.16,"WHITE","FAMILY","NO LOTIO","2 PLY","TOP & SI",2.09,0.009675926,0,6,2,1,2,6,5,10,1,6,4,10,1,0,0,0,2,0,18.81,7,1165,4,4,4,1
"863",1106393,23700062262,1120,1,"GR",1.99,648764,"PROCTER","PUFFS PL",1.44,"WHITE","FAMILY","ALOE VER","2 PLY","TOP & SI",1.99,0.013819444,0,11,2,1,2,7,9,11,1,6,6,13,1,0,0,0,4,0,33.73,16,1163,4,4,4,1
"864",1106393,23700062262,1157,1,"GR",1.99,648764,"PROCTER","PUFFS PL",1.44,"WHITE","FAMILY","ALOE VER","2 PLY","TOP & SI",1.99,0.013819444,0,11,2,1,2,7,9,11,1,6,6,13,1,0,0,0,4,0,33.73,16,1163,4,4,4,1
"865",1106393,23700062262,1146,1,"GR",1.99,648764,"PROCTER","PUFFS PL",1.44,"WHITE","FAMILY","ALOE VER","2 PLY","TOP & SI",1.99,0.013819444,0,11,2,1,2,7,9,11,1,6,6,13,1,0,0,0,4,0,33.73,16,1163,4,4,4,1
"866",1106393,23700062262,1163,1,"GR",1.89,648764,"PROCTER","PUFFS PL",1.44,"WHITE","FAMILY","ALOE VER","2 PLY","TOP & SI",1.89,0.013125,0,11,2,1,2,7,9,11,1,6,6,13,1,0,0,0,4,0,33.73,16,1163,4,4,4,1
"867",1106393,23700062262,1132,1,"GR",1.99,648764,"PROCTER","PUFFS PL",1.44,"WHITE","FAMILY","ALOE VER","2 PLY","TOP & SI",1.99,0.013819444,0,11,2,1,2,7,9,11,1,6,6,13,1,0,0,0,4,0,33.73,16,1163,4,4,4,1
"868",1106393,23700062262,1121,1,"GR",1.99,648764,"PROCTER","PUFFS PL",1.44,"WHITE","FAMILY","ALOE VER","2 PLY","TOP & SI",1.99,0.013819444,0,11,2,1,2,7,9,11,1,6,6,13,1,0,0,0,4,0,33.73,16,1163,4,4,4,1
"869",1106393,23700062262,1129,2,"GR",3.98,648764,"PROCTER","PUFFS PL",1.44,"WHITE","FAMILY","ALOE VER","2 PLY","TOP & SI",1.99,0.013819444,0,11,2,1,2,7,9,11,1,6,6,13,1,0,0,0,4,0,33.73,16,1163,4,4,4,1
"870",1106393,23700062262,1138,1,"GR",1.99,648764,"PROCTER","PUFFS PL",1.44,"WHITE","FAMILY","ALOE VER","2 PLY","TOP & SI",1.99,0.013819444,0,11,2,1,2,7,9,11,1,6,6,13,1,0,0,0,4,0,33.73,16,1163,4,4,4,1
"871",1106393,23700062262,1145,1,"GR",1.99,648764,"PROCTER","PUFFS PL",1.44,"WHITE","FAMILY","ALOE VER","2 PLY","TOP & SI",1.99,0.013819444,0,11,2,1,2,7,9,11,1,6,6,13,1,0,0,0,4,0,33.73,16,1163,4,4,4,1
"872",1106393,23700062262,1154,1,"GR",1.99,648764,"PROCTER","PUFFS PL",1.44,"WHITE","FAMILY","ALOE VER","2 PLY","TOP & SI",1.99,0.013819444,0,11,2,1,2,7,9,11,1,6,6,13,1,0,0,0,4,0,33.73,16,1163,4,4,4,1
"873",1106393,23700062262,1137,1,"GR",1.99,648764,"PROCTER","PUFFS PL",1.44,"WHITE","FAMILY","ALOE VER","2 PLY","TOP & SI",1.99,0.013819444,0,11,2,1,2,7,9,11,1,6,6,13,1,0,0,0,4,0,33.73,16,1163,4,4,4,1
"874",1106393,23700062262,1147,1,"GR",1.99,648764,"PROCTER","PUFFS PL",1.44,"WHITE","FAMILY","ALOE VER","2 PLY","TOP & SI",1.99,0.013819444,0,11,2,1,2,7,9,11,1,6,6,13,1,0,0,0,4,0,33.73,16,1163,4,4,4,1
